,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
6049,FBgn0260639,head,ctrl,0.14999089749789743,991,0.14999089749789743
6050,FBgn0037372,head,ctrl,0.1531096036114998,1272,0.1531096036114998
6051,FBgn0038871,head,ctrl,0.12788334295332324,40,0.12788334295332324
6052,FBgn0030305,head,ctrl,0.1687876391609029,1575,0.1687876391609029
6053,FBgn0030611,head,ctrl,0.1642383744953312,1770,0.1642383744953312
6054,FBgn0005198,head,ctrl,0.1352593493025239,170,0.1352593493025239
6055,FBgn0033471,head,ctrl,0.15618571773041828,1382,0.15618571773041828
6056,FBgn0011272,head,ctrl,0.2503686511009934,3919,0.2503686511009934
6057,FBgn0052695,head,ctrl,0.2146281419675638,2275,0.2146281419675638
6058,FBgn0000318,head,ctrl,0.2177404182568097,3246,0.2177404182568097
6059,FBgn0052687,head,ctrl,0.18463759585107004,1065,0.18463759585107004
6060,FBgn0031417,head,ctrl,0.21645986403091005,2511,0.21645986403091005
6061,FBgn0016700,head,ctrl,0.19754915597798672,2677,0.19754915597798672
6062,FBgn0015247,head,ctrl,0.15418970430295045,914,0.15418970430295045
6063,FBgn0002607,head,ctrl,0.26310308880836,4090,0.26310308880836
6064,FBgn0032477,head,ctrl,0.17010176909649463,1608,0.17010176909649463
6065,FBgn0005561,head,ctrl,0.18796042998625445,2559,0.18796042998625445
6066,FBgn0029903,head,ctrl,0.15703383504595328,1470,0.15703383504595328
6067,FBgn0085242,head,ctrl,0.1326183847044137,245,0.1326183847044137
6068,FBgn0037011,head,ctrl,0.14504580944300172,356,0.14504580944300172
6069,FBgn0038412,head,ctrl,0.14748629242256509,280,0.14748629242256509
6070,FBgn0024244,head,ctrl,0.14583916237899525,777,0.14583916237899525
6071,FBgn0034572,head,ctrl,0.17237955448822712,1819,0.17237955448822712
6072,FBgn0035495,head,ctrl,0.22154458422361414,2906,0.22154458422361414
6073,FBgn0033715,head,ctrl,0.14038979844775765,599,0.14038979844775765
6074,FBgn0086254,head,ctrl,0.19710186368961435,2126,0.19710186368961435
6075,FBgn0044328,head,ctrl,0.1790474188973188,2034,0.1790474188973188
6076,FBgn0005631,head,ctrl,0.1574603552224575,1156,0.1574603552224575
6077,FBgn0033980,head,ctrl,0.1916999087553902,2412,0.1916999087553902
6078,FBgn0027572,head,ctrl,0.17290808886684209,1416,0.17290808886684209
6079,FBgn0032770,head,ctrl,0.20264356338181455,2106,0.20264356338181455
6080,FBgn0031516,head,ctrl,0.1356601504208337,225,0.1356601504208337
6081,FBgn0016032,head,ctrl,0.17156501310524364,1084,0.17156501310524364
6082,FBgn0042134,head,ctrl,0.1911853818706076,2659,0.1911853818706076
