Gene	Tissue	Condition	V(G)	V(e)	Vp	h2
FBgn0029685	head	ctrl	1e-06	0.882913	0.882914	1e-06
FBgn0019661	head	ctrl	0.101277	1.872863	1.974139	0.051302
FBgn0000221	head	ctrl	1e-06	1.200136	1.200137	1e-06
FBgn0026084	head	ctrl	0.020328	0.225643	0.245972	0.082644
FBgn0026083	head	ctrl	0.012452	0.245175	0.257627	0.048333
FBgn0066114	head	ctrl	0.010559	0.563658	0.574217	0.018389
FBgn0040907	head	ctrl	0.008389	0.380981	0.38937	0.021545
FBgn0000635	head	ctrl	0	0.171175	0.171175	1e-06
FBgn0026079	head	ctrl	1e-06	1.114108	1.11411	1e-06
FBgn0029693	head	ctrl	0.009169	1.13519	1.144359	0.008013
FBgn0022768	head	ctrl	0.029177	0.595468	0.624645	0.046709
FBgn0052773	head	ctrl	1e-06	0.825926	0.825927	1e-06
FBgn0011760	head	ctrl	0.001094	0.082312	0.083406	0.01312
FBgn0028325	head	ctrl	0.00909	0.068074	0.077164	0.117803
FBgn0052772	head	ctrl	0	0.333824	0.333824	1e-06
FBgn0029737	head	ctrl	0.006302	0.230868	0.23717	0.026574
FBgn0004368	head	ctrl	0.009415	0.268388	0.277804	0.033892
FBgn0003449	head	ctrl	0	0.290589	0.290589	1e-06
FBgn0029755	head	ctrl	2e-06	1.593092	1.593094	1e-06
FBgn0052767	head	ctrl	0.004245	0.241764	0.246009	0.017255
FBgn0026751	head	ctrl	2e-06	1.526811	1.526813	1e-06
FBgn0010014	head	ctrl	0.005125	0.179317	0.184443	0.027788
FBgn0029761	head	ctrl	0.057187	0.132654	0.189841	0.301236
FBgn0029763	head	ctrl	0	0.453433	0.453434	1e-06
FBgn0029765	head	ctrl	0.193124	0.368765	0.561888	0.343705
FBgn0029766	head	ctrl	0.349793	0.253762	0.603555	0.579555
FBgn0029768	head	ctrl	0.028294	0.757354	0.785648	0.036013
FBgn0029771	head	ctrl	0	0.267703	0.267703	1e-06
FBgn0026702	head	ctrl	1e-06	1.227412	1.227414	1e-06
FBgn0004687	head	ctrl	0.012926	0.14882	0.161746	0.079918
FBgn0029778	head	ctrl	1e-06	0.848103	0.848104	1e-06
FBgn0029769	head	ctrl	0.132637	0.393267	0.525904	0.252208
FBgn0029762	head	ctrl	0.024481	0.387778	0.412258	0.059382
FBgn0029756	head	ctrl	0.024454	1.011433	1.035887	0.023607
FBgn0028474	head	ctrl	0	0.401755	0.401756	1e-06
FBgn0029785	head	ctrl	0.032059	0.101357	0.133416	0.240293
FBgn0000394	head	ctrl	0	0.421657	0.421658	1e-06
FBgn0029791	head	ctrl	0.124603	1.513808	1.638411	0.076051
FBgn0029801	head	ctrl	0.209701	0.282666	0.492367	0.425903
FBgn0029810	head	ctrl	0.001295	0.250968	0.252263	0.005134
FBgn0029814	head	ctrl	0.03498	0.224954	0.259935	0.134574
FBgn0029822	head	ctrl	0.012893	0.424593	0.437486	0.029471
FBgn0029823	head	ctrl	0.18441	0.454992	0.639402	0.288411
FBgn0029819	head	ctrl	0	0.29734	0.29734	1e-06
FBgn0014340	head	ctrl	0.16394	1.767379	1.931318	0.084885
FBgn0029818	head	ctrl	0.020081	0.55646	0.576541	0.03483
FBgn0013987	head	ctrl	0.025701	0.178027	0.203728	0.126156
FBgn0029800	head	ctrl	0.039915	0.686772	0.726687	0.054927
FBgn0261383	head	ctrl	1e-06	0.618758	0.618759	1e-06
FBgn0052758	head	ctrl	0.00806	0.244205	0.252265	0.031951
FBgn0053080	head	ctrl	0	0.432329	0.43233	1e-06
FBgn0029789	head	ctrl	1e-06	0.894781	0.894782	1e-06
FBgn0046687	head	ctrl	0.134575	0.873008	1.007583	0.133562
FBgn0015794	head	ctrl	0.04293	0.318459	0.361389	0.118792
FBgn0029824	head	ctrl	0.053703	0.368408	0.42211	0.127224
FBgn0029825	head	ctrl	1e-06	0.882146	0.882147	1e-06
FBgn0052756	head	ctrl	0.010658	1.254098	1.264757	0.008427
FBgn0029828	head	ctrl	0.250022	0.52958	0.779602	0.320705
FBgn0029830	head	ctrl	0.190635	1.11974	1.310375	0.145481
FBgn0029831	head	ctrl	0.291536	1.914321	2.205858	0.132165
FBgn0029833	head	ctrl	0	0.336534	0.336534	1e-06
FBgn0029834	head	ctrl	1e-06	0.591276	0.591277	1e-06
FBgn0029835	head	ctrl	0.175746	1.158344	1.33409	0.131735
FBgn0029843	head	ctrl	0.048998	0.889663	0.938661	0.0522
FBgn0029849	head	ctrl	0.032867	0.434224	0.46709	0.070365
