Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0086680,vvl,body,0.07839542827088453,0.3749516193736267,0.3678348738059338,0.43233949096975455,0.5676605090302455,0.3559649384147718,0.19982563522431165,0.13906696545698816,0.015177760303049044,0.16530486117047805
FBgn0086683,Spf45,body,-0.21110042394583484,0.20977739173265617,0.6101912074839291,0.19539749672652457,0.3898087925160709,0.21531181699827187,0.19441129578954636,0.12886964246164034,-0.08323137798749035,0.1393548953046
FBgn0086686,l(3)L1231,body,-0.054695448919504175,0.19186388376132885,0.4418328495531043,0.3179507597756468,0.5581671504468957,0.3477576800185517,0.24021639067124892,0.16450325499045126,-0.021866476471830206,0.12202959932719351
FBgn0086687,Desat1,body,0.3923885611200453,0.1152425476431908,0.0015066291777900767,0.9930599610985006,0.006940038901499429,0.0016134452425234193,0.005433409723709352,0.0012602853605217252,0.3026401511783481,0.10750565456445044
FBgn0086690,Plp,body,-0.017536350471535123,0.29995967888399394,0.4049450209967682,0.3841897823279342,0.5950549790032318,0.37850902957566707,0.21086519667529757,0.15062312114152646,-0.004497231400415311,0.15192907428477934
FBgn0086691,UK114,body,-0.5474284803487063,0.11262679161494406,0.9999475204427205,8.687088008803445e-6,5.247955727949449e-5,1.0198250152857436e-5,4.379246927069105e-5,8.221831408828302e-6,-0.44570417769496956,0.10988910193619274
FBgn0086694,Bre1,body,0.15840538659105396,0.20780592122304598,0.23469318649366414,0.5533098751408174,0.4466901248591826,0.2591424900402506,0.21199693836551844,0.15145341861158002,0.061346986318451806,0.13397738721050764
FBgn0086695,hd,body,-0.43278966141130704,0.1883076565217842,0.8870122209797369,0.04184970075704089,0.11298777902026313,0.04033216291812788,0.07113807826322224,0.02694126789299924,-0.2266974706563439,0.15715297807363976
FBgn0086706,pix,body,0.3750749611039863,0.10081305686916708,4.2832405325223476e-4,0.997675512496802,0.002324487503198006,4.2545083881561074e-4,0.0018961634499457712,3.43708613361401e-4,0.3060185587780319,0.09485953057048485
FBgn0086707,ncm,body,-0.0035547718239539172,0.19320104088681592,0.38226966407362484,0.37427901292093724,0.6177303359263752,0.38794465829517594,0.24345132300543795,0.1652411845252163,-0.0014052416118137416,0.12147583370115764
FBgn0086708,stv,body,0.06466172329195174,0.3456337106717911,0.36791828383880715,0.42881514298740414,0.5711848570125959,0.3592640457943727,0.20326657317378877,0.14360331554980732,0.013932371227198852,0.16069787349547934
FBgn0086710,RpL30,body,0.19313573489067104,0.1040762889594734,0.044782337281910195,0.8437138151635925,0.1562861848364076,0.06095494980433971,0.11150384755449741,0.04931877220471424,0.13511225993161013,0.10007755278696909
FBgn0086711,mol,body,0.32831040862334415,0.2382428649689454,0.15474964223164392,0.6830105351718453,0.3169894648281547,0.16111836827077716,0.1622398225965108,0.0902648736643145,0.11992410006107883,0.15698517967026837
FBgn0086712,Egm,body,-0.03233993938630464,0.22270225467074478,0.414872045355133,0.3550897112031306,0.585127954644867,0.3703802258769424,0.23003824344173637,0.16121114775803633,-0.011359488804464161,0.13216662661486842
FBgn0086757,cbs,body,0.14426659644596018,0.2537086608345952,0.2851224957405051,0.504574606613436,0.495425393386564,0.2971709010105537,0.21030289764605892,0.15026299576290147,0.045387641541746626,0.1448508735755854
FBgn0086768,Pcmt,body,0.18249531149595333,0.2451591861101142,0.25251708203263135,0.5431699310217573,0.4568300689782428,0.26623487073452246,0.20431298694561145,0.14484785707050354,0.060273191338433264,0.1451959293530707
FBgn0086779,step,body,0.135280087557214,0.18807444654678981,0.2335982850549467,0.5451356247541297,0.45486437524587026,0.2648749315161698,0.22126609019092355,0.15722058312197973,0.05664810561024583,0.12597442735821238
FBgn0086784,stmA,body,0.11582633018654964,0.26212512655469,0.30956309946110516,0.47776662234275946,0.5222333776572405,0.3180961602405467,0.21267027819613538,0.1519108443295165,0.034947555695413204,0.14552365683691965
FBgn0086785,Vps36,body,0.14919498633537764,0.34502299718184404,0.32966109918437203,0.47031819550395504,0.529681804496045,0.3235937802098763,0.20002070531167293,0.13934899269141857,0.03244848537910887,0.16229867324858138
FBgn0086855,CG17078,body,0.28854227937088317,0.22338123349435474,0.15957776055406292,0.6707330202054398,0.32926697979456016,0.16931011599223433,0.16968921924049724,0.09742376872657726,0.11118011231914046,0.15024479065698146
FBgn0086856,CG11555,body,0.2176309784059971,0.17862654495396493,0.14847899190368066,0.6704376960601179,0.32956230393988206,0.16978626316485393,0.1810833120362014,0.11102616129505827,0.1009582026232012,0.1320905602449113
FBgn0086898,dgo,body,0.04841998821368687,0.3685466762452868,0.3789895211184223,0.42000473566128227,0.5799952643387177,0.3661383933940281,0.20100574322029544,0.1408549766497147,0.009581764922878794,0.16407464918389447
FBgn0086901,NA,body,-0.19710557665187867,0.33161447597907623,0.5000105729307026,0.30223328736045163,0.4999894270692974,0.3007609647082714,0.19775613970884576,0.1352737557464943,-0.04545661121708915,0.16189312849025597
FBgn0086904,Nacalpha,body,0.1771170090070855,0.12500078391567934,0.09583826950109187,0.7337868981849254,0.2662131018150747,0.12560772720855706,0.17037483231398282,0.09828219316758449,0.10580930843407316,0.1086311994561362
FBgn0086906,sls,body,-0.24213734966525913,0.253612772865531,0.5863979018467259,0.22216277461383893,0.4136020981532741,0.23340325111422378,0.19143932353943516,0.12393865689247742,-0.07868657975109081,0.15139693302025
FBgn0086908,egg,body,-1.1894882522736572,0.31255359695553836,0.9782176018208559,0.008365489199997623,0.02178239817914407,0.005415947493764172,0.013416908979146446,0.003356540527655777,-0.7197213158310497,0.4284833804888447
FBgn0086909,CG31751,body,-0.1469769628976867,0.26420194409499514,0.5009336856749864,0.2904480958992785,0.4990663143250136,0.2999992019800128,0.20861821842573508,0.14904542194636128,-0.044244862549645436,0.147371858226876
FBgn0086912,mbm,body,-0.16604221468192382,0.15482611876624225,0.6386133879506601,0.15829009956224135,0.36138661204933986,0.19453184055166528,0.2030965124870985,0.14346004274325758,-0.0832437890409572,0.1182175302756151
FBgn0087002,apolpp,body,-0.8663725061105034,0.13215323152081926,0.9999999771310409,3.4197979111488365e-9,2.2868959059785254e-8,3.59646501019671e-9,1.9449161148636418e-8,3.6444345498494327e-9,-0.7814049874058236,0.1540249932398454
FBgn0087007,bbg,body,-0.06869630398874937,0.2755731611999284,0.4393672954090988,0.34668999552777513,0.5606327045909012,0.350102101008687,0.2139427090631261,0.15274452535844577,-0.019480695331273678,0.14723566560400375
FBgn0087008,e(y)3,body,-0.30022511485962355,0.14980950957136271,0.8586949371851134,0.048952136732115945,0.14130506281488664,0.0540127871220239,0.0923529260827707,0.03708340668127593,-0.17863728149205765,0.13154098410417225
FBgn0087011,CG41520,body,-0.40332026747011296,0.3775585827560171,0.5725593649384425,0.24828888743839836,0.4274406350615575,0.2437535323564996,0.17915174762315914,0.10880283772567421,-0.0813575684313835,0.1784714357467171
FBgn0087013,Karybeta3,body,0.23662501747798848,0.09737362362977649,0.013948309134311214,0.941056795496664,0.05894320450333602,0.01713643923396444,0.044994895369024804,0.01416732177245454,0.1835214213014963,0.09558987893413892
FBgn0087035,AGO2,body,0.42379124691183856,0.369123889011723,0.2355285544169728,0.5884375673340894,0.4115624326659107,0.23180308955043566,0.1760338782489379,0.10492880478329457,0.08887474321296955,0.17932177883194445
FBgn0087039,Sbp2,body,-0.1552816015263141,0.2436123599590831,0.5203388019925023,0.26998330375433766,0.47966119800749774,0.2850291184786504,0.20967789425316005,0.14983747173705822,-0.05118925799449217,0.14307819021771404
FBgn0087040,alphaTub67C,body,-0.41198814236287107,0.11163702064819875,0.9970387639656594,5.943152711341167e-4,0.0029612360343406197,5.737486054195886e-4,0.002366920763206503,4.446991864107399e-4,-0.3246277289779425,0.10443748164891906
FBgn0243511,psidin,body,0.07422936057365903,0.229148841078119,0.3219569207996465,0.45349627074414295,0.5465037292558571,0.3384023587306627,0.2245468084562106,0.15890828631473014,0.02552536242127447,0.1352454811230945
FBgn0243512,puc,body,-0.16027198062737025,0.27239461904339696,0.5065164360479113,0.2875022984888532,0.4934835639520887,0.2960622619864768,0.2059812654632355,0.14652540363813954,-0.046743099233485366,0.14977823989851793
FBgn0243516,Vrp1,body,0.5033998204293162,0.22635618965602344,0.060580842832018686,0.8528851530648597,0.14711484693514032,0.05628455326057229,0.08653400410312163,0.034089194028958394,0.22091888905907606,0.17544282656680724
FBgn0250746,Prosbeta7,body,-0.19797279090138997,0.0989103806178886,0.8745012975308907,0.03344076634378371,0.12549870246910932,0.046601826406775425,0.09205793612532562,0.036952924578134136,-0.14451811937157685,0.09694876462253668
FBgn0250753,kra,body,0.07842183406183367,0.07651948384422072,0.122009133640684,0.5945114921531902,0.4054885078468098,0.22764848955413056,0.2834793742061258,0.17122327222730196,0.04866414640816518,0.06767681217417829
