	Nested_Level	Block	Path	Direction	N_genes	Internal_degree	Average_internal_degree	Total_degree	Average_total_degree	Assortativity
155	1	155	155-29-2-1-1	decohere	52	144.0	2.769230769230769	9089.0	174.78846153846155	0.003490266965874658
156	1	156	156-37-4-3-1	decohere	16	40.0	2.5	3548.0	221.75	0.005782957489494103
157	1	157	157-7-7-3-1	decohere	68	6.0	0.08823529411764706	2630.0	38.6764705882353	-0.0014692069224941015
158	1	158	158-14-9-2-0	decohere	28	142.0	5.071428571428571	7392.0	264.0	0.01590458099897144
159	1	159	159-14-9-2-0	decohere	10	20.0	2.0	6251.0	625.1	-0.012340705179348552
160	1	160	160-4-4-3-1	decohere	10	14.0	1.4	4291.0	429.1	-0.004484453017301864
161	1	161	161-38-5-3-1	decohere	14	0.0	0.0	306.0	21.857142857142858	-4.35095739563248e-05
162	1	162	162-24-11-1-1	decohere	28	6.0	0.21428571428571427	371.0	13.25	0.0016808920867499987
163	1	163	163-30-13-0-0	decohere	16	10.0	0.625	2718.0	169.875	-0.0005246575461615421
164	1	164	164-23-10-0-0	decohere	28	16.0	0.5714285714285714	2681.0	95.75	0.0013130150981855327
165	1	165	165-0-0-0-0	decohere	18	0.0	0.0	288.0	16.0	-3.854135270871678e-05
166	1	166	166-17-10-0-0	decohere	16	28.0	1.75	5446.0	340.375	-0.0056388939426625095
167	1	167	167-35-10-0-0	decohere	32	10.0	0.3125	495.0	15.46875	0.002794227161359881
168	1	168	168-20-8-3-1	decohere	12	14.0	1.1666666666666667	4659.0	388.25	-0.006014880767126198
169	1	169	169-24-11-1-1	decohere	50	2.0	0.04	368.0	7.36	0.000518689361191071
170	1	170	170-40-7-3-1	decohere	22	26.0	1.1818181818181819	5772.0	262.3636363636364	-0.007919829781199582
171	1	171	171-10-0-0-0	decohere	30	0.0	0.0	1707.0	56.9	-0.001353969932110119
172	1	172	172-1-1-1-1	decohere	18	0.0	0.0	2408.0	133.77777777777777	-0.0026943557845389267
173	1	173	173-5-5-3-1	decohere	23	0.0	0.0	54.0	2.347826086956522	-1.3549694311658242e-06
174	1	174	174-2-2-1-1	decohere	28	8.0	0.2857142857142857	3256.0	116.28571428571429	-0.0025997198125811234
175	1	175	175-5-5-3-1	decohere	10	0.0	0.0	321.0	32.1	-4.7879768572276304e-05
176	1	176	176-40-7-3-1	decohere	20	64.0	3.2	12968.0	648.4	-0.05953089607326893
177	1	177	177-13-9-2-0	decohere	20	18.0	0.9	3800.0	190.0	-0.0014752457368725073
178	1	178	178-8-8-3-1	decohere	8	12.0	1.5	6762.0	845.25	-0.017757041675604816
179	1	179	179-5-5-3-1	decohere	16	4.0	0.25	516.0	32.25	0.001039512473969218
180	1	180	180-2-2-1-1	decohere	24	12.0	0.5	5556.0	231.5	-0.010854175000557026
181	1	181	181-0-0-0-0	decohere	6	0.0	0.0	204.0	34.0	-1.9337588425033245e-05
182	2	0	0-0-0-0	decohere	227	8.0	0.03524229074889868	1097.0	4.832599118942731	0.0004078341106147216
183	2	1	1-1-1-1	decohere	327	186.0	0.5688073394495413	8079.0	24.706422018348626	0.005483398189755822
184	2	2	2-2-1-1	decohere	108	1274.0	11.796296296296296	34585.0	320.23148148148147	-0.04276362414519592
185	2	3	3-3-2-0	decohere	723	2370.0	3.2780082987551866	47828.0	66.15214384508991	-0.08624280104156815
186	2	4	4-4-3-1	decohere	274	446.0	1.6277372262773722	15457.0	56.41240875912409	0.004311398100156269
187	2	5	5-5-3-1	decohere	117	22.0	0.18803418803418803	1094.0	9.350427350427351	0.0013480731986510147
188	2	6	6-6-4-0	decohere	443	436.0	0.9841986455981941	15574.0	35.15575620767494	0.0032509868633438213
189	2	7	7-7-3-1	decohere	232	128.0	0.5517241379310345	9232.0	39.793103448275865	-0.0005492417272051324
190	2	8	8-8-3-1	decohere	281	2534.0	9.017793594306049	45222.0	160.932384341637	-0.049234593885136055
191	2	9	9-9-2-0	decohere	312	4094.0	13.121794871794872	47501.0	152.24679487179486	0.032796795634808175
192	2	10	10-0-0-0	decohere	351	56.0	0.15954415954415954	5433.0	15.478632478632479	0.000592950643372009
193	2	11	11-4-3-1	decohere	185	458.0	2.4756756756756757	15914.0	86.02162162162162	0.0035793925929866028
