,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
50,FBgn0024992,head,hs,0.12434069354970982,132,0.12434069354970982
51,FBgn0026679,head,hs,0.12644824906524058,328,0.12644824906524058
52,FBgn0050440,head,hs,0.1468791895207554,992,0.1468791895207554
53,FBgn0025639,head,hs,0.15259641269071914,1719,0.15259641269071914
54,FBgn0028541,head,hs,0.13166945614503892,531,0.13166945614503892
55,FBgn0039909,head,hs,0.17237447613665857,1039,0.17237447613665857
56,FBgn0011230,head,hs,0.1754650825818586,2564,0.1754650825818586
57,FBgn0039227,head,hs,0.13666115569934917,706,0.13666115569934917
58,FBgn0002917,head,hs,0.17393231131354153,2011,0.17393231131354153
59,FBgn0031646,head,hs,0.1291170436290424,131,0.1291170436290424
60,FBgn0032196,head,hs,0.13018610060136157,648,0.13018610060136157
61,FBgn0053523,head,hs,0.13868462879491,639,0.13868462879491
62,FBgn0026777,head,hs,0.141743241192095,1034,0.141743241192095
63,FBgn0034726,head,hs,0.1302213885935265,378,0.1302213885935265
64,FBgn0042129,head,hs,0.1770647661441398,690,0.1770647661441398
65,FBgn0039207,head,hs,0.1346796589360263,540,0.1346796589360263
66,FBgn0052085,head,hs,0.21425262514577814,3255,0.21425262514577814
67,FBgn0260971,head,hs,0.23146261148118435,3528,0.23146261148118435
68,FBgn0032940,head,hs,0.13205457088204883,494,0.13205457088204883
69,FBgn0015296,head,hs,0.1423352366404304,674,0.1423352366404304
70,FBgn0028863,head,hs,0.23686393668472702,3533,0.23686393668472702
71,FBgn0035497,head,hs,0.1462902586305138,1022,0.1462902586305138
72,FBgn0029881,head,hs,0.22875622238904253,3523,0.22875622238904253
73,FBgn0054003,head,hs,0.17996000593500028,2788,0.17996000593500028
74,FBgn0001256,head,hs,0.18082456065418062,2841,0.18082456065418062
75,FBgn0010328,head,hs,0.13181609954947127,513,0.13181609954947127
76,FBgn0015546,head,hs,0.13220681191802994,468,0.13220681191802994
77,FBgn0030091,head,hs,0.1269587736385558,402,0.1269587736385558
78,FBgn0044812,head,hs,0.15886332839014694,1352,0.15886332839014694
79,FBgn0263039,head,hs,0.18514652472363533,1881,0.18514652472363533
80,FBgn0013692,head,hs,0.15401140088746307,1110,0.15401140088746307
81,FBgn0031030,head,hs,0.19580550462597632,2984,0.19580550462597632
82,FBgn0015371,head,hs,0.22160799807036136,3308,0.22160799807036136
83,FBgn0033769,head,hs,0.14148979393759348,380,0.14148979393759348
84,FBgn0032997,head,hs,0.12801463722447665,226,0.12801463722447665
85,FBgn0025574,head,hs,0.15375683115081737,1798,0.15375683115081737
86,FBgn0085384,head,hs,0.20033961785743026,2965,0.20033961785743026
87,FBgn0004107,head,hs,0.12766641424517713,459,0.12766641424517713
88,FBgn0260962,head,hs,0.13591731464853973,774,0.13591731464853973
89,FBgn0003557,head,hs,0.1609783151553877,2224,0.1609783151553877
90,FBgn0039115,head,hs,0.15380780973609975,920,0.15380780973609975
91,FBgn0267791,head,hs,0.17296206479249598,2135,0.17296206479249598
92,FBgn0000273,head,hs,0.2323210275363763,3425,0.2323210275363763
93,FBgn0260936,head,hs,0.12236965899113929,131,0.12236965899113929
94,FBgn0037164,head,hs,0.13294254928496876,334,0.13294254928496876
95,FBgn0261046,head,hs,0.2179821074144118,3325,0.2179821074144118
96,FBgn0032129,head,hs,0.2187573947435414,3407,0.2187573947435414
97,FBgn0035481,head,hs,0.23543041165238565,3222,0.23543041165238565
98,FBgn0086371,head,hs,0.12354731167628362,159,0.12354731167628362
99,FBgn0259822,head,hs,0.24055882896429276,3824,0.24055882896429276
100,FBgn0024957,head,hs,0.16027957658491393,1100,0.16027957658491393
101,FBgn0035982,head,hs,0.20995433560736743,1166,0.20995433560736743
102,FBgn0036184,head,hs,0.13109774654812492,647,0.13109774654812492
103,FBgn0015591,head,hs,0.1664111666157543,1751,0.1664111666157543
104,FBgn0033784,head,hs,0.12200983829128384,130,0.12200983829128384
105,FBgn0030257,head,hs,0.16300894250884437,481,0.16300894250884437
106,FBgn0014857,head,hs,0.19342723058982114,2828,0.19342723058982114
107,FBgn0031052,head,hs,0.14111458870896157,1166,0.14111458870896157
108,FBgn0037315,head,hs,0.14007187872427468,1050,0.14007187872427468
109,FBgn0034145,head,hs,0.1958207446575046,2396,0.1958207446575046
110,FBgn0267704,head,hs,0.17564644580516994,2216,0.17564644580516994
111,FBgn0010602,head,hs,0.15408027076930753,1619,0.15408027076930753
112,FBgn0037491,head,hs,0.13030189793363078,499,0.13030189793363078
113,FBgn0013756,head,hs,0.13610026406560408,902,0.13610026406560408
114,FBgn0051739,head,hs,0.13468121648286502,702,0.13468121648286502
115,FBgn0004638,head,hs,0.15215679417325437,1235,0.15215679417325437
116,FBgn0025335,head,hs,0.12626333058679218,224,0.12626333058679218
117,FBgn0030474,head,hs,0.12591152367336556,216,0.12591152367336556
