tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
body,FBgn0261934,-0.09209113783527512,3.8560205267422205,-0.6399087815622786,0.5223284377228918,0.5998658411571318,-6.764664816068191,-0,dikar
body,FBgn0035960,-0.06557846165722037,3.441864591304511,-0.4024534219703145,0.6874070064833775,0.7495255305313696,-6.764724141116972,-0,CG4942
body,FBgn0013705,0.04143400834822142,3.2538069206054567,0.2745256572804785,0.7837180315740928,0.832051949569137,-6.76520243081186,0,trnS2
body,FBgn0000166,-0.12318996344500999,4.908771226011338,-0.9988808120468421,0.31801157729032586,0.39742381836966606,-6.7654911130357736,-0,bcd
body,FBgn0036770,0.08829744180701748,4.586957950761569,0.848043942723728,0.39654715120394346,0.4772500121371033,-6.766135152819145,0,Prestin
body,FBgn0040207,0.08899182279842943,4.858564766592847,0.9411518827223696,0.34677672521948766,0.4275222619128891,-6.766839213678755,0,kat80
body,FBgn0052205,0.05976029753655698,3.473281949014658,0.2734480855327364,0.7845459802606163,0.8325063201167894,-6.767086358640831,0,hpRNA:CR32205
body,FBgn0032042,0.07520511952424114,3.5189594002578817,0.45846689016541103,0.6466826508739121,0.7128135441684186,-6.767238119894965,0,CG13398
body,FBgn0263832,0.08854551562679802,5.827391580255617,1.1764492799019621,0.23959977924174414,0.3138661649987469,-6.768799269944511,0,Rcd5
body,FBgn0086680,-0.02196404817595443,3.419278732065311,-0.11468491160239093,0.9087100358258359,0.9295420724942237,-6.7690783993904455,-0,vvl
body,FBgn0025186,0.10175703064896968,4.717833348890501,0.8972076101430857,0.36975036760386504,0.45085822684276217,-6.769712802567223,0,ari-2
body,FBgn0266719,0.08641955270552204,3.9152596629292042,0.5671312401570638,0.5707088446376849,0.6452856537719078,-6.771534597958287,0,stac
body,FBgn0053180,0.07039797037427942,3.7041065478405493,0.5017532671945573,0.6159138285609003,0.6863666050866769,-6.771692798827391,0,Ranbp16
